Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Access,City-wide emissions inventory,Accounting year,Administrative city boundary,Inventory boundary (compared to Administrative city boundary),Primary Protocol,Primary Protocol Comment,Gases Included,Direct emissions (metric tonnes CO2e) for Total generation of grid-supplied energy,Direct emissions (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary (metric tonnes CO2e) for Total Generation of grid supplied energy,Emissions occurring outside city boundary (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),TOTAL Scope 1 Emissions (metric tonnes CO2e),TOTAL Scope 2 emissions (metric tonnes CO2e),TOTAL Scope 3 Emissions,TOTAL BASIC Emissions (GPC),TOTAL BASIC+ Emissions (GPC),Change in emissions,Primary reason for the change in emissions,Land area (in square km),Population,Population Year,City Location,Last update
2021,49333,"City of Louisville, KY",Louisville,United States of America,North America,public,Yes,2016-01-01 - 2016-12-31,"Other, please specify: Consolidated city-county government",Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Following the requirements of the GPC Protocol, the Louisville GHG Inventory considered emissions from all reporting Sectors, including Stationary Energy, Transportation, Waste, Industrial Process and Product Use (IPPU) and Agriculture, Forestry and Other Land Use (AFOLU). In addition to fulfilling the requirements of the Covenant, the document also describes the quantification methodologies deployed by Louisville Metro Government to calculate GHG emissions for the 2010 baseline and 2016 reporting years, and to present both the Core and Expanded 2016 community GHG emissions inventories for the city.","CH4, CO2, HFCs, N20, NF3, PFCs, SF6",10844022,9955664,,9883480,,1715766,,,,,,Decreased,Technological change,1032.21,765352,2016,POINT (-85.6784 38.196),10/04/2021 09:23:47 AM
2021,832838,"Town of Wellfleet, MA",Wellfleet,United States of America,North America,public,Yes,2019-07-01 - 2020-06-30,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,12178,,7016,,21869,,,,,,,,53.017,3500,2018,POINT (-70.031 41.9305),10/04/2021 09:23:47 AM
2021,59545,"City of Charlottesville, VA",Charlottesville,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,Independent city,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),No comment,"CH4, CO2, N20",,157770.3,,156582.97,,16933.89,,,,,,Decreased,"Other, please specify: Cannot fully attribute, but likely a mix of behavior change, cleaning of the grid, more energy efficiency and renewable power installations, as well as increased vehicle fuel economy.",26.4,47266,2019,POINT (-78.4767 38.0293),10/04/2021 09:23:47 AM
2021,54100,"City of Columbia, MO","Columbia, MO",United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,,,,,,,,,,,Decreased,Technological change,170.37,123412,2020,POINT (-92.3341 38.9517),10/04/2021 09:23:47 AM
2021,64014,"City of Cupertino, CA",Cupertino,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",0,174312,0,4535,0,80758,,,,,,Decreased,Policy change,29.29,60170,2018,POINT (-122.032 37.323),10/04/2021 09:23:47 AM
2021,35883,"City of San José, CA","San José, CA",United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"This inventory follows, as much as possible, the guidelines of three protocols: the Global Protocol for Community-Scale Greenhouse Gas Emission Inventories (GPC), the Global Covenant of Mayors Common Reporting Framework (CRF) and the U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (USCP).","CH4, CO2, HFCs, N20, NF3, PFCs, SF6",1097853,4527608,,721647,,162899,,,,,,Decreased,"Other, please specify: Combination of policy, technology, and behavioral changes.",457,1047871,2019,POINT (-121.886 37.3382),10/04/2021 09:23:47 AM
2021,74466,"Village of South Barrington, IL",South Barrington,United States of America,North America,public,Not intending to undertake,,City / Municipality,,,,,,,,,,,,,,,,,,12.39,4565,2010,POINT (42.0736 88.148),10/04/2021 09:23:47 AM
2021,54110,"City of Santa Monica, CA",Santa Monica,United States of America,North America,public,Yes,2020-01-01 - 2021-01-01,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,469756.7,,51439.68,,34091.22,,,,,,Decreased,Behavioural change,21.79734,90401,2019,POINT (-118.481 34.0219),10/04/2021 09:23:47 AM
2021,54082,"City of Hollywood, FL",Hollywood,United States of America,North America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,44,154817,2020,POINT (-80.1495 26.0112),10/04/2021 09:23:47 AM
2021,60656,"City of Piedmont, CA",Piedmont,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, N20",,32543,,705.5,,197,,,,,,Decreased,Change in weather conditions,4.4,11317,2019,POINT (-122.232 37.8244),10/04/2021 09:23:47 AM
2021,53959,"City of Fayetteville, AR",Fayetteville,United States of America,North America,public,Yes,2020-01-01 - 2020-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, N20",,,,,,,478307,689211,0,,,Decreased,Behavioural change,143,92842,2020,POINT (-94.1719 36.0821),10/04/2021 09:23:47 AM
2021,834083,"City of Eau Claire, WI",,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),Throughout the process of developing our 2018  carbon footprint for the Eau Claire community we followed the primary protocol listed.,"CH4, CO2, N20",,,,,,,,,,,,Stayed the same,"Other, please specify: Increase in natural gas consumption and vehicle miles traveled",90,69000,2020,,10/04/2021 09:23:47 AM
2021,50572,"City of Saint Paul, MN",Saint Paul,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",1754744.63,2142213.92,,930691.1,,61580.97,,,,,,Decreased,"Other, please specify: The emissions decreased by such a small factor that there is not enough data to decide what made the difference.",51.97,315000,2020,POINT (-93.09 44.9537),10/04/2021 09:23:47 AM
2021,74560,"City of Moab, UT",Moab,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2",,,,,,,,,,,,Increased,Improved data accuracy,12.38,5341,2020,POINT (-109.54 38.57),10/04/2021 09:23:47 AM
2021,49335,"Metropolitan Government of Nashville and Davidson County, TN",Nashville,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,Province / County,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,7072772.9,,3999087.23,,358894.33,,,,,,Decreased,"Other, please specify: The TVA/NES emissions factor decreased by 17% from 2014 to 2017.",1367,694144,2019,POINT (-86.7816 36.1627),10/04/2021 09:23:47 AM
2021,2430,"City of Burlington, VT",Burlington,United States of America,North America,public,Yes,2015-01-01 - 2015-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,"Other, please specify: Local Government Greenhouse Gas (GHG) Emissions Analysis Protocol developed by the Climate Registry and ICLEI",,CO2,0,359615,,,,,,,,,,Decreased,"Other, please specify: Change in energy source",27.5,42284,2015,POINT (-73.2121 44.4759),10/04/2021 09:23:47 AM
2021,49330,"Kansas City, MO",Kansas City,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,Independent city,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"While the ICLEI protocol was used, the ICLEI format was not used. Consultant The Brendle Group developed their own Excel spreadsheet that we used for 2013 and 2017 updates. That spreadsheet is uploaded.","CH4, CO2, N20",,,,,,,,,,,,Increased,"Other, please specify: Reduced emissions factors of the local electric utility by increased reliance on renewable energy sources",826,503443,2021,POINT (-94.573 39.1429),10/04/2021 09:23:47 AM
2021,73669,"San Luis Obispo, CA",,United States of America,North America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"The City prepared a 2016 comprehensive community-wide and local government GHG emissions inventory update compliant with all relevant protocols and guidance documents including the U.S. CommunityProtocol, Local Government Operations Protocol (LGOP), the Global Protocol for CommunityScale GHG Emissions (GPC), and the Intergovernmental Panel on Climate Change (IPCC) Guidelines for National GHG Inventories.","CH4, CO2, N20",,255610,,83680,,,,,,,,Decreased,Technological change,33.5,46802,2019,,10/04/2021 09:23:47 AM
2021,63862,"City of Ashland, OR",,United States of America,North America,public,In progress,2020-01-01 - 2020-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"Previous inventories used US community protocol. We have since shifted to a market based inventory that more accurately reflects our emissions. It's possible to create another US Community protool using different carbon intensities for electricity, but that work remains to be completed.","CH4, CO2, HFCs, N20",,,,,,,,,,,,,,17.1,21056,2019,,10/04/2021 09:23:47 AM
2021,54119,"City of Palo Alto, CA",Palo Alto,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,475666.36,,,,6658.81,,,,,,Increased,Change in data collection methods,66.95,68990,2019,POINT (-122.143 37.4419),10/04/2021 09:23:47 AM
2021,54078,"City of Hayward, CA",Hayward,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,797588.59,,13093,,,,,,,,Decreased,"Other, please specify: The biggest decrease in emissions has been in the electricity sector, as our electricity provider works towards California's RPS and is increasing renewable energy on the grid.",165,160197,2019,POINT (-122.081 37.6689),10/04/2021 09:23:47 AM
2021,54092,"City of Ann Arbor, MI",Ann Arbor,United States of America,North America,public,Yes,2020-01-01 - 2020-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"The inventory uses the ICLEI methodology, including some recommended values for US cities.","CH4, CO2, N20",,828725,,636369,,241733,,,,,,Decreased,"Other, please specify: Decreased VMT activity",72.2,119980,2019,POINT (-83.743 42.2808),10/04/2021 09:23:47 AM
2021,58668,"City of New Bedford, MA",New Bedford,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,"Other, please specify: EPA Calculator",,"CH4, CO2, N20",,728024,,,,,,,,,,Decreased,"Other, please specify",62.5,95315,2018,POINT (-70.9342 41.6362),10/04/2021 09:23:47 AM
2021,35877,"City of Pittsburgh, PA",Pittsburgh,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, N20",,5010418,,,,,,,,,,Decreased,Behavioural change,151.1,301048,2018,POINT (-79.9959 40.4406),10/04/2021 09:23:47 AM
2021,35884,"City of San Diego, CA",San Diego,United States of America,North America,public,Yes,2020-01-01 - 2020-12-31,City / Municipality,Smaller – covers only part of the city,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, N20",43698,5500228,,4591391,,,,,,,,Decreased,"Other, please specify: Utility account change",859.9,1426000,2021,POINT (-117.17 32.7181),10/04/2021 09:23:47 AM
2021,54125,"City of Boise, ID",Boise,United States of America,North America,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,241590,2020,,10/04/2021 09:23:47 AM
2021,54066,"City of Fort Collins, CO",Fort Collins,United States of America,North America,public,Yes,2020-01-01 - 2020-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Some calculations are still applied from the ICLEI Community Protocol, however these calculations align with the methods required by GPC.","CH4, CO2, N20, SF6",,996779.22,,731412.01,,45541.44,,,,,,Decreased,"Other, please specify: Several changes contributed",147.76,171629,2020,POINT (-105.084 40.5853),10/04/2021 09:23:47 AM
2021,59707,"Town of Princeton, NJ",,United States of America,North America,public,Yes,2020-01-01 - 2020-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, N20",,,,,,,370008,,,,,Decreased,"Other, please specify",47.56,31822,2019,,10/04/2021 09:23:47 AM
2021,49327,"City of Providence, RI",Providence,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, N20",,1941206,,527900,,27994,,,,,,Decreased,"Other, please specify: Industrial decline due to reduction in emissions from power plant",53.35,180609,2020,POINT (-71.4128 41.824),10/04/2021 09:23:47 AM
2021,53921,"City of Tempe, AZ",Tempe,United States of America,North America,public,Yes,2015-01-01 - 2015-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",0,3667560.36,,,,,,,,,,Do not know,Lack of documentation,104.2,192364,2018,POINT (-111.94 33.4255),10/04/2021 09:23:47 AM
2021,58513,"City of Medford, MA",Medford,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),The inventory was developed using MAPC's new GHG inventory calculation tool which is designed according to the Global Protocol for Community-Scale Greenhouse Gas Emission Inventories (GPC),"CH4, CO2, N20",,355858,,69076,,1543,,,,,,Decreased,"Other, please specify: change in data collection methods and accounting methodology",20.98,57637,2019,POINT (-122.876 42.3265),10/04/2021 09:23:47 AM
2021,852443,"Ferndale, MI",,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, N20",,,,,,,,,,,,Stayed the same,Emissions have not changed,10.36,20003,2019,,10/04/2021 09:23:47 AM
2021,74463,"Village of Park Forest, IL",,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, N20",,,,,,,69952,48089,66988,,,Stayed the same,"Other, please specify: Better data collection",12.85,21429,2019,,10/04/2021 09:23:47 AM
2021,59532,"City of Hoboken, NJ",,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,"Other, please specify: BASIC or BASIC+","GHG emissions are calculated applying the appropriate methodologies from:• WRI/ICLEI Global Protocol for Community-Scale Greenhouse Gas Emission Inventories(GPC), Version 1, 2014.In addition, GHG emissions are calculated using emission factors (EF) sourced from:• US EPA Center for Corporate Climate Leadership - Emission Factors for GreenhouseGas Inventories – March 9, 2018;• US EPA Emissions & Generation Resource Integrated Database - eGRID2016;• Fifth Assessment Report of the Intergovernmental Panel on Climate Change - IPCCAR5.","CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,270041,136958,38314,,,This is our first year of calculation,"Other, please specify: Baseline was 2017",1.26,55754,2020,,10/04/2021 09:23:47 AM
2021,10495,"City of Las Vegas, NV",Las Vegas,United States of America,North America,public,In progress,2019-01-01 - 2019-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,City specific methodology,"Community data was collected from local utilities (NV Energy and Southwest Gas), the Nevada Department of Transportation's Annual VMT Report for Clark County, the Regional Transportation Commission of Southern Nevada, and the Nevada Department of Environmental Protection.",CO2,,,,,,,,,,,,,,351.979,675971,2020,POINT (-115.14 36.1699),10/04/2021 09:23:47 AM
2021,43908,"City of Milwaukee, WI",Milwaukee,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, N20",347356,4894554,346802,,533.7,,,,,,,This is our first year of calculation,"Other, please specify",97,590157,2019,POINT (-87.9065 43.0389),10/04/2021 09:23:47 AM
2021,35860,"City of Dallas, TX",Dallas,United States of America,North America,public,Yes,2015-01-01 - 2015-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Clear Path from ICLEI was the primary tool used to develop the inventory.  This is consistent with the GPC.,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,,,,,,Decreased,"Other, please specify: Decreased emissions from electricity generation.  Also lower emissions from transportation",997,1345047,2018,POINT (-96.8004 32.7801),10/04/2021 09:23:47 AM
2021,840201,"City of Columbus, IN",Columbus,United States of America,North America,public,,,City / Municipality,,,,,,,,,,,,,,,,,,74.7,48046,2019,POINT (-85.9111 39.214),10/04/2021 09:23:47 AM
