city_state_code,city,state,county
"San Francisco, CA",San Francisco,California,#FIELD!
"San Jacinto, CA",San Jacinto,California,Riverside
"San Jose, CA",San Jose,California,Santa Clara County
"San Leandro, CA",San Leandro,California,Alameda
"San Marcos, CA",San Marcos,California,San Diego
"San Mateo, CA",San Mateo,California,San Mateo
"San Rafael, CA",San Rafael,California,Marin
"San Ramon, CA",San Ramon,California,Contra Costa
"Santa Ana, CA",Santa Ana,California,Orange
"Santa Barbara, CA",Santa Barbara,California,Santa Barbara
"Santa Clara, CA",Santa Clara,California,Santa Clara County
"Santa Clarita, CA",Santa Clarita,California,Los Angeles
"Santa Cruz, CA",Santa Cruz,California,Santa Cruz County
"Santa Maria, CA",Santa Maria,California,Santa Barbara
"Santa Monica, CA",Santa Monica,California,Los Angeles
"Santa Rosa, CA",Santa Rosa,California,Sonoma
"Santee, CA",Santee,California,San Diego
"Simi Valley, CA",Simi Valley,California,Ventura
"South Gate, CA",South Gate,California,Los Angeles
"South San Francisco, CA",South San Francisco,California,San Mateo
"Stockton, CA",Stockton,California,San Joaquin County
"Sunnyvale, CA",Sunnyvale,California,Santa Clara County
"Temecula, CA",Temecula,California,Riverside
"Thousand Oaks, CA",Thousand Oaks,California,Ventura
"Torrance, CA",Torrance,California,Los Angeles
"Tracy, CA",Tracy,California,San Joaquin County
"Tulare, CA",Tulare,California,Tulare County
"Turlock, CA",Turlock,California,Stanislaus County
"Tustin, CA",Tustin,California,Orange
"Union City, CA",Union City,California,Alameda
"Upland, CA",Upland,California,San Bernardino
"Vacaville, CA",Vacaville,California,Solano
"Vallejo, CA",Vallejo,California,Solano
"Victorville, CA",Victorville,California,San Bernardino
"Visalia, CA",Visalia,California,Tulare County
"Vista, CA",Vista,California,San Diego
"Walnut Creek, CA",Walnut Creek,California,Contra Costa
"Watsonville, CA",Watsonville,California,Santa Cruz County
"West Covina, CA",West Covina,California,Los Angeles
"Westminster, CA",Westminster,California,Orange
"West Sacramento, CA",West Sacramento,California,Yolo County
"Whittier, CA",Whittier,California,Los Angeles
"Woodland, CA",Woodland,California,Yolo County
"Yorba Linda, CA",Yorba Linda,California,Orange
"Yuba City, CA",Yuba City,California,Sutter
"Yucaipa, CA",Yucaipa,California,San Bernardino
"Arvada, CO",Arvada,Colorado,Jefferson
"Aurora, CO",Aurora,Colorado,Arapahoe
"Boulder, CO",Boulder,Colorado,Boulder
"Broomfield, CO",Broomfield,Colorado,#FIELD!
"Centennial, CO",Centennial,Colorado,Arapahoe
"Colorado Springs, CO",Colorado Springs,Colorado,El Paso
"Commerce City, CO",Commerce City,Colorado,Adams
"Denver, CO",Denver,Colorado,#FIELD!
"Fort Collins, CO",Fort Collins,Colorado,Larimer County
"Grand Junction, CO",Grand Junction,Colorado,Mesa County
"Greeley, CO",Greeley,Colorado,Weld
"Lakewood, CO",Lakewood,Colorado,Jefferson
"Longmont, CO",Longmont,Colorado,Boulder
"Loveland, CO",Loveland,Colorado,Larimer County
"Pueblo, CO",Pueblo,Colorado,Pueblo
"Thornton, CO",Thornton,Colorado,Adams
"Westminster, CO",Westminster,England,Greater London
"Bridgeport, CT",Bridgeport,Connecticut,Fairfield
"Bristol, CT",Bristol,Connecticut,Hartford
"Danbury, CT",Danbury,Connecticut,Fairfield
"Hartford, CT",Hartford,Connecticut,Hartford
"Meriden, CT",Meriden,Connecticut,New Haven
"Milford (balance), CT",Milford,Connecticut,New Haven
"New Britain, CT",New Britain,Connecticut,Hartford
"New Haven, CT",New Haven,Connecticut,New Haven
"Norwalk, CT",Norwalk,Connecticut,Fairfield
"Stamford, CT",Stamford,Connecticut,Fairfield
"Waterbury, CT",Waterbury,Connecticut,New Haven
"West Haven, CT",West Haven,Connecticut,New Haven
"Milford, CT",Milford,Connecticut,New Haven
"Wilmington, DE",Wilmington,Delaware,New Castle
"Washington, DC","Washington, D.C.",#FIELD!,#FIELD!
"Apopka, FL",Apopka,Florida,Orange
"Boca Raton, FL",Boca Raton,Florida,Palm Beach County
"Bonita Springs, FL",Bonita Springs,Florida,Lee
"Boynton Beach, FL",Boynton Beach,Florida,Palm Beach County
"Bradenton, FL",Bradenton,Florida,Manatee
"Cape Coral, FL",Cape Coral,Florida,Lee
"Clearwater, FL",Clearwater,Florida,Pinellas
"Coconut Creek, FL",Coconut Creek,Florida,Broward County
"Coral Springs, FL",Coral Springs,Florida,Broward County
"Daytona Beach, FL",Daytona Beach,Florida,Volusia County
"Deerfield Beach, FL",Deerfield Beach,Florida,Broward County
"Delray Beach, FL",Delray Beach,Florida,Palm Beach County
"Deltona, FL",Deltona,Florida,Volusia County
"Doral, FL",Doral,Florida,Miami-Dade
"Fort Lauderdale, FL",Fort Lauderdale,Florida,Broward County
"Fort Myers, FL",Fort Myers,Florida,Lee
"Gainesville, FL",Gainesville,Georgia,Alachua
"Hialeah, FL",Hialeah,Florida,Miami-Dade
"Hollywood, FL",Hollywood,Florida,Broward County
"Homestead, FL",Homestead,Florida,Miami-Dade
"Jacksonville, FL",Jacksonville,Florida,Duval
"Kissimmee, FL",Kissimmee,Florida,Osceola
"Lakeland, FL",Lakeland,Florida,Polk
"Largo, FL",Largo,Florida,Pinellas
"Lauderhill, FL",Lauderhill,Florida,Broward County
"Margate, FL",Margate,Florida,Broward County
"Melbourne, FL",Melbourne,Florida,Brevard
"Miami, FL",Miami,Florida,Miami-Dade
"Miami Beach, FL",Miami Beach,Florida,Miami-Dade
"Miami Gardens, FL",Miami Gardens,Florida,Miami-Dade
"Miramar, FL",Miramar,Florida,Broward County
"North Miami, FL",North Miami,Florida,Miami-Dade
"North Port, FL",North Port,Florida,Sarasota
"Ocala, FL",Ocala,Florida,Marion
"Orlando, FL",Orlando,Florida,Orange
"Palm Bay, FL",Palm Bay,Florida,Brevard
"Palm Beach Gardens, FL",Palm Beach Gardens,Florida,Palm Beach County
"Palm Coast, FL",Palm Coast,Florida,Flagler
"Pembroke Pines, FL",Pembroke Pines,Florida,Broward County
"Pensacola, FL",Pensacola,Florida,Escambia County
"Pinellas Park, FL",Pinellas Park,Florida,Pinellas
"Plantation, FL",Plantation,Florida,Broward County
"Pompano Beach, FL",Orlando,Florida,Orange
"Port Orange, FL",Port Orange,Florida,Volusia County
"Port St. Lucie, FL",Port St. Lucie,Florida,St. Lucie
"St. Cloud, FL",St. Cloud,Florida,Osceola
"St. Petersburg, FL",St. Petersburg,Florida,Pinellas
"Sanford, FL",Sanford,Florida,Seminole
"Sarasota, FL",Sarasota,Florida,Sarasota
"Sunrise, FL",Sunrise,Florida,Broward County
"Tallahassee, FL",Tallahassee,Florida,Leon
"Tamarac, FL",Tamarac,Florida,Broward County
"Tampa, FL",Tampa,Florida,Hillsborough
"Weston, FL",Weston,Florida,Broward County
"West Palm Beach, FL",West Palm Beach,Florida,Palm Beach County
"Winter Haven, FL",Winter Haven,Florida,Polk
"Albany, GA",Albany,Georgia,Dougherty County
"Alpharetta, GA",Alpharetta,Georgia,Fulton
"Atlanta, GA",Atlanta,Georgia,DeKalb County
"Brookhaven, GA",Brookhaven,Georgia,DeKalb County
"Columbus, GA",Columbus,Georgia,Muscogee County
"Dunwoody, GA",Dunwoody,Georgia,DeKalb County
"Johns Creek, GA",Johns Creek,Georgia,Fulton
"Marietta, GA",Marietta,Georgia,Cobb
"Roswell, GA",Roswell,Georgia,Fulton
"Sandy Springs, GA",Sandy Springs,Georgia,Fulton
"Savannah, GA",Savannah,Georgia,Chatham County
"Smyrna, GA",Smyrna,Georgia,Cobb
"South Fulton, GA",South Fulton,Georgia,Fulton
"Stonecrest, GA","Stonecrest, GA",#FIELD!,#FIELD!
"Valdosta, GA",Valdosta,Georgia,Lowndes
"Warner Robins, GA",Warner Robins,Georgia,Houston
"Boise City, ID",Boise,Idaho,Ada
"Caldwell, ID",Caldwell,Idaho,Canyon
"Coeur d'Alene, ID",Coeur d'Alene,Idaho,Kootenai
"Idaho Falls, ID",Idaho Falls,Idaho,Bonneville County
"Meridian, ID",Meridian,Idaho,Ada
"Nampa, ID",Nampa,Idaho,Canyon
"Pocatello, ID",Pocatello,Idaho,Bannock
"Twin Falls, ID",Twin Falls,Idaho,Twin Falls
"Aurora, IL",Aurora,Illinois,DuPage
"Berwyn, IL",Berwyn,Georgia,Cook
"Bloomington, IL",Bloomington,Illinois,McLean
"Champaign, IL",Champaign,Illinois,Champaign
"Chicago, IL",Chicago,Illinois,Cook
"Decatur, IL",Decatur,Illinois,Macon
"Des Plaines, IL",Des Plaines,Illinois,Cook
"Elgin, IL",Elgin,Illinois,Cook
"Evanston, IL",Evanston,Illinois,Cook
"Joliet, IL",Joliet,Illinois,Kendall
"Naperville, IL",Naperville,Illinois,DuPage
"Peoria, IL",Peoria,Illinois,Peoria
"Rockford, IL",Rockford,Illinois,Winnebago County
"Springfield, IL",Springfield,Illinois,Sangamon
"Waukegan, IL",Waukegan,Illinois,Lake County
"Wheaton, IL",Wheaton,Illinois,DuPage
"Champaign City township, IL",Champaign,Illinois,Champaign
"Anderson, IN",Anderson,Indiana,Madison
"Bloomington, IN",Bloomington,Indiana,Monroe
"Carmel, IN",Carmel,California,Hamilton
"Columbus, IN",Columbus,Indiana,Bartholomew
"Elkhart, IN",Elkhart,Indiana,Elkhart
"Evansville, IN",Evansville,Indiana,Vanderburgh County
"Fishers, IN",Fishers,Indiana,Hamilton
"Fort Wayne, IN",Fort Wayne,Indiana,Allen
"Gary, IN",Gary,Indiana,Lake
"Greenwood, IN",Greenwood,Indiana,Johnson
"Hammond, IN",Hammond,Indiana,Lake
"Indianapolis (balance), IN",Indianapolis,Indiana,Marion
"Jeffersonville, IN",Jeffersonville,Indiana,Clark
"Kokomo, IN",Kokomo,Indiana,Howard
"Lafayette, IN",Lafayette,Indiana,Tippecanoe
"Mishawaka, IN",Mishawaka,Indiana,St. Joseph
"Muncie, IN",Muncie,Indiana,Delaware
"Noblesville, IN",Noblesville,Indiana,Hamilton
"South Bend, IN",South Bend,Indiana,St. Joseph
"Terre Haute, IN",Terre Haute,Indiana,Vigo
"Westfield, IN",Westfield,Indiana,Hamilton
"Indianapolis, IN",Indianapolis,Indiana,Marion
"Ames, IA",Ames,Iowa,Story
"Ankeny, IA",Ankeny,Iowa,Polk
"Cedar Rapids, IA",Cedar Rapids,Iowa,Linn
"Council Bluffs, IA",Council Bluffs,Iowa,Pottawattamie
"Davenport, IA",Davenport,Iowa,Scott
"Des Moines, IA",Des Moines,Iowa,Polk
"Dubuque, IA",Dubuque,Iowa,Dubuque
"Iowa City, IA",Iowa City,Iowa,Johnson
"Sioux City, IA",Sioux City,Iowa,Woodbury
"Waterloo, IA",Waterloo,Iowa,Black Hawk
"West Des Moines, IA",West Des Moines,Iowa,Polk
"Kansas City, KS",Kansas City,Kansas,Wyandotte
"Lawrence, KS",Lawrence,Kansas,Douglas County
"Lenexa, KS",Lenexa,Kansas,Johnson
"Manhattan, KS",Manhattan,Kansas,Riley County
"Olathe, KS",Olathe,Kansas,Johnson
"Overland Park, KS",Overland Park,Kansas,Johnson
"Shawnee, KS",Shawnee,Kansas,Johnson
"Topeka, KS",Topeka,Kansas,Shawnee
"Wichita, KS",Wichita,Kansas,Sedgwick
"Bowling Green, KY",Bowling Green,Kentucky,Warren County
"Owensboro, KY",Owensboro,Kentucky,Daviess
"Baton Rouge, LA",Baton Rouge,Louisiana,East Baton Rouge Parish
"Bossier City, LA",Bossier City,Louisiana,Bossier Parish
"Kenner, LA",Kenner,Louisiana,Jefferson Parish
"Lafayette, LA",Lafayette,Louisiana,Lafayette Parish
"Lake Charles, LA",Lake Charles,Louisiana,Calcasieu Parish
"New Orleans, LA",New Orleans,Louisiana,#FIELD!
"Shreveport, LA",Shreveport,Louisiana,Caddo Parish
"Portland, ME",Portland,Maine,Cumberland
"Baltimore, MD",Baltimore,Maryland,Baltimore
"Bowie, MD",Bowie,Maryland,Prince George's County
"Frederick, MD",Frederick,Maryland,Frederick
"Gaithersburg, MD",Gaithersburg,Maryland,Montgomery
"Rockville, MD",Rockville,Maryland,Montgomery
"Boston, MA",Boston,Massachusetts,Suffolk County
"Brockton, MA",Brockton,Massachusetts,Plymouth
"Cambridge, MA",Cambridge,Massachusetts,Middlesex
"Chicopee, MA",Chicopee,Massachusetts,Hampden County
"Fall River, MA",Fall River,Massachusetts,Bristol
"Framingham, MA",Framingham,Massachusetts,Middlesex
"Haverhill, MA",Haverhill,Massachusetts,Essex
"Lawrence, MA",Lawrence,Massachusetts,Essex
"Lowell, MA",Lowell,Massachusetts,Middlesex
"Lynn, MA",Lynn,Massachusetts,Essex
"Malden, MA",Malden,Massachusetts,Middlesex
"Medford, MA",Medford,Massachusetts,Middlesex
"Methuen Town, MA","Methuen Town, MA",#FIELD!,#FIELD!
"New Bedford, MA",New Bedford,Massachusetts,Bristol
"Newton, MA",Newton,Massachusetts,Middlesex
"Peabody, MA",Peabody,Massachusetts,Essex
"Quincy, MA",Quincy,Massachusetts,Norfolk
"Revere, MA",Revere,Massachusetts,Suffolk County
"Somerville, MA",Somerville,Massachusetts,Middlesex
"Springfield, MA",Springfield,Massachusetts,Hampden County
"Taunton, MA",Taunton,Massachusetts,Bristol
"Waltham, MA",Waltham,Massachusetts,Middlesex
"Weymouth Town, MA",Weymouth,Massachusetts,Norfolk
"Worcester, MA",Worcester,Massachusetts,Worcester
"Ann Arbor, MI",Ann Arbor,Michigan,Washtenaw
"Battle Creek, MI",Battle Creek,Michigan,Calhoun
"Dearborn, MI",Dearborn,Michigan,Wayne
"Dearborn Heights, MI",Dearborn Heights,Michigan,Wayne
"Detroit, MI",Detroit,Michigan,Wayne
"Farmington Hills, MI",Farmington Hills,Michigan,Oakland
"Flint, MI",Flint,Michigan,Genesee
"Grand Rapids, MI",Grand Rapids,Michigan,Kent
"Kalamazoo, MI",Kalamazoo,Michigan,Kalamazoo County
"Kentwood, MI",Kentwood,Michigan,Kent
"Lansing, MI",Lansing,Michigan,Ingham
"Livonia, MI",Livonia,Michigan,Wayne
"Novi, MI",Novi,Michigan,Oakland
"Pontiac, MI",Pontiac,Michigan,Oakland
"Rochester Hills, MI",Rochester Hills,Michigan,Oakland
"Royal Oak, MI",Royal Oak,Michigan,Oakland
"St. Clair Shores, MI",St. Clair Shores,Michigan,Macomb
"Southfield, MI",Southfield,Michigan,Oakland
"Sterling Heights, MI",Sterling Heights,Michigan,Macomb
"Taylor, MI",Taylor,Michigan,Wayne
"Troy, MI",Troy,Michigan,Oakland
"Warren, MI",Warren,Michigan,Macomb
"Westland, MI",Westland,Michigan,Wayne
"Wyoming, MI",Wyoming,Michigan,Kent
"Apple Valley, MN",Apple Valley,Minnesota,Dakota
"Blaine, MN",Blaine,Minnesota,Anoka
"Bloomington, MN",Bloomington,Minnesota,Hennepin
"Brooklyn Park, MN",Brooklyn Park,Minnesota,Hennepin
"Burnsville, MN",Burnsville,Minnesota,Dakota
"Coon Rapids, MN",Coon Rapids,Minnesota,Anoka
"Duluth, MN",Duluth,Minnesota,St. Louis County
"Eagan, MN",Eagan,Minnesota,Dakota
"Eden Prairie, MN",Eden Prairie,Minnesota,Hennepin
"Edina, MN",Edina,Minnesota,Hennepin
"Lakeville, MN",Lakeville,Minnesota,Dakota
"Maple Grove, MN",Maple Grove,Minnesota,Hennepin
"Minneapolis, MN",Minneapolis,Minnesota,Hennepin
"Minnetonka, MN",Minnetonka,Minnesota,Hennepin
"Plymouth, MN",Plymouth,Minnesota,Hennepin
"Rochester, MN",Rochester,Minnesota,Olmsted County
"St. Cloud, MN",St. Cloud,Minnesota,Stearns
"St. Paul, MN",Saint Paul,Minnesota,Ramsey
"Woodbury, MN",Woodbury,Minnesota,Washington County
"Gulfport, MS",Gulfport,Mississippi,Harrison
"Jackson, MS",Jackson,Mississippi,Madison
"Southaven, MS",Southaven,Mississippi,DeSoto
"Blue Springs, MO",Blue Springs,Missouri,Jackson
"Columbia, MO",Columbia,Missouri,Boone
"Florissant, MO",Florissant,Missouri,St. Louis
"Independence, MO",Independence,Missouri,Jackson
"Joplin, MO",Joplin,Missouri,Jasper
"Kansas City, MO",Kansas City,Missouri,Jackson
"Lee's Summit, MO",Lee's Summit,Missouri,Jackson
"O'Fallon, MO",O'Fallon,Missouri,St. Clair
"St. Charles, MO",St. Charles,Missouri,St. Charles
"St. Joseph, MO",Saint Joseph,Missouri,Buchanan
"St. Louis, MO",St. Louis,Missouri,#FIELD!
"St. Peters, MO",St. Peters,Missouri,St. Charles
"Springfield, MO",Springfield,Missouri,Greene
"Billings, MT",Billings,Montana,Yellowstone
"Bozeman, MT",Bozeman,Montana,Gallatin
"Great Falls, MT",Great Falls,Montana,Cascade
"Missoula, MT",Missoula,Montana,Missoula
"Bellevue, NE",Bellevue,Nebraska,Sarpy
"Grand Island, NE",Grand Island,Nebraska,Hall County
"Lincoln, NE",Lincoln,Nebraska,Lancaster
"Omaha, NE",Omaha,Nebraska,Douglas County
"Carson City, NV",Carson City,Nevada,#FIELD!
"Henderson, NV",Henderson,Nevada,Clark
"Las Vegas, NV",Las Vegas,Nevada,Clark
"North Las Vegas, NV",North Las Vegas,Nevada,Clark
"Reno, NV",Reno,Nevada,Washoe
"Sparks, NV",Sparks,Nevada,Washoe
"Manchester, NH",Manchester,New Hampshire,Hillsborough County
"Nashua, NH",Nashua,New Hampshire,Hillsborough County
"Bayonne, NJ",Bayonne,New Jersey,Hudson
"Camden, NJ",Camden,New Jersey,Camden
"Clifton, NJ",Clifton,New Jersey,Passaic
"East Orange, NJ",East Orange,New Jersey,Essex
"Elizabeth, NJ",Elizabeth,New Jersey,Union County
"Hoboken, NJ",Hoboken,New Jersey,Hudson
"Jersey City, NJ",Jersey City,New Jersey,Hudson
"Newark, NJ",Newark,New Jersey,Essex
"New Brunswick, NJ",New Brunswick,New Jersey,Middlesex
"Passaic, NJ",Passaic,New Jersey,Passaic
"Paterson, NJ",Paterson,New Jersey,Passaic
"Perth Amboy, NJ",Perth Amboy,New Jersey,Middlesex
"Plainfield, NJ",Plainfield,New Jersey,Union County
"Trenton, NJ",Trenton,New Jersey,Mercer
"Union City, NJ",Union City,New Jersey,Hudson
"Vineland, NJ",Vineland,New Jersey,Cumberland
"Albuquerque, NM",Albuquerque,New Mexico,Bernalillo
"Las Cruces, NM",Las Cruces,New Mexico,Dona Ana County
"Rio Rancho, NM",Rio Rancho,New Mexico,Bernalillo
"Santa Fe, NM",Santa Fe,New Mexico,Santa Fe
"Albany, NY",Albany,New York,Albany
"Buffalo, NY",Buffalo,New York,Erie
"Mount Vernon, NY",Mount Vernon,New York,Westchester County
"New Rochelle, NY",New Rochelle,New York,Westchester County
"New York, NY",New York,#FIELD!,#FIELD!
"Rochester, NY",Rochester,New York,Monroe County
"Schenectady, NY",Schenectady,New York,Schenectady County
"Syracuse, NY",Syracuse,New York,Onondaga County
"Troy, NY",Troy,New York,Rensselaer
"Utica, NY",Utica,New York,Oneida
"White Plains, NY",White Plains,New York,Westchester County
"Yonkers, NY",Yonkers,New York,Westchester County
"Asheville, NC",Asheville,North Carolina,Buncombe County
"Burlington, NC",Burlington,North Carolina,Alamance
"Charlotte, NC",Charlotte,North Carolina,Mecklenburg
"Concord, NC",Concord,North Carolina,Cabarrus
"Durham, NC",Durham,North Carolina,Durham County
"Fayetteville, NC",Fayetteville,North Carolina,Cumberland
"Gastonia, NC",Gastonia,North Carolina,Gaston
"Greensboro, NC",Greensboro,North Carolina,Guilford
"Greenville, NC",Greenville,North Carolina,Pitt
"High Point, NC",High Point,North Carolina,Guilford
"Jacksonville, NC",Jacksonville,North Carolina,Onslow
"Kannapolis, NC",Kannapolis,North Carolina,Cabarrus
