"Column Name","Label"
"B08141_014E","Estimate!!Total:!!Car, truck, or van - carpooled:!!2 vehicles available"
"B08141_014M","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!2 vehicles available"
"B08141_014MA","Annotation of Margin of Error!!Total:!!Car, truck, or van - carpooled:!!2 vehicles available"
"B08141_014EA","Annotation of Estimate!!Total:!!Car, truck, or van - carpooled:!!2 vehicles available"
"B08141_015E","Estimate!!Total:!!Car, truck, or van - carpooled:!!3 or more vehicles available"
"B08141_015M","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!3 or more vehicles available"
"B08141_015MA","Annotation of Margin of Error!!Total:!!Car, truck, or van - carpooled:!!3 or more vehicles available"
"B08141_015EA","Annotation of Estimate!!Total:!!Car, truck, or van - carpooled:!!3 or more vehicles available"
"B08141_016E","Estimate!!Total:!!Public transportation (excluding taxicab):"
"B08141_016EA","Annotation of Estimate!!Total:!!Public transportation (excluding taxicab):"
"B08141_016M","Margin of Error!!Total:!!Public transportation (excluding taxicab):"
"B08141_016MA","Annotation of Margin of Error!!Total:!!Public transportation (excluding taxicab):"
"B08141_017E","Estimate!!Total:!!Public transportation (excluding taxicab):!!No vehicle available"
"B08141_017M","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!No vehicle available"
"B08141_017MA","Annotation of Margin of Error!!Total:!!Public transportation (excluding taxicab):!!No vehicle available"
"B08141_017EA","Annotation of Estimate!!Total:!!Public transportation (excluding taxicab):!!No vehicle available"
"B08141_018E","Estimate!!Total:!!Public transportation (excluding taxicab):!!1 vehicle available"
"B08141_018M","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!1 vehicle available"
"B08141_018MA","Annotation of Margin of Error!!Total:!!Public transportation (excluding taxicab):!!1 vehicle available"
"B08141_018EA","Annotation of Estimate!!Total:!!Public transportation (excluding taxicab):!!1 vehicle available"
"B08141_019E","Estimate!!Total:!!Public transportation (excluding taxicab):!!2 vehicles available"
"B08141_019M","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!2 vehicles available"
"B08141_019MA","Annotation of Margin of Error!!Total:!!Public transportation (excluding taxicab):!!2 vehicles available"
"B08141_019EA","Annotation of Estimate!!Total:!!Public transportation (excluding taxicab):!!2 vehicles available"
"B08141_020E","Estimate!!Total:!!Public transportation (excluding taxicab):!!3 or more vehicles available"
"B08141_020M","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!3 or more vehicles available"
"B08141_020MA","Annotation of Margin of Error!!Total:!!Public transportation (excluding taxicab):!!3 or more vehicles available"
"B08141_020EA","Annotation of Estimate!!Total:!!Public transportation (excluding taxicab):!!3 or more vehicles available"
"B08141_021E","Estimate!!Total:!!Walked:"
"B08141_021M","Margin of Error!!Total:!!Walked:"
"B08141_021MA","Annotation of Margin of Error!!Total:!!Walked:"
"B08141_021EA","Annotation of Estimate!!Total:!!Walked:"
"B08141_022E","Estimate!!Total:!!Walked:!!No vehicle available"
"B08141_022M","Margin of Error!!Total:!!Walked:!!No vehicle available"
"B08141_022MA","Annotation of Margin of Error!!Total:!!Walked:!!No vehicle available"
"B08141_022EA","Annotation of Estimate!!Total:!!Walked:!!No vehicle available"
"B08141_023E","Estimate!!Total:!!Walked:!!1 vehicle available"
"B08141_023M","Margin of Error!!Total:!!Walked:!!1 vehicle available"
"B08141_023MA","Annotation of Margin of Error!!Total:!!Walked:!!1 vehicle available"
"B08141_023EA","Annotation of Estimate!!Total:!!Walked:!!1 vehicle available"
"B08141_024E","Estimate!!Total:!!Walked:!!2 vehicles available"
"B08141_024M","Margin of Error!!Total:!!Walked:!!2 vehicles available"
"B08141_024MA","Annotation of Margin of Error!!Total:!!Walked:!!2 vehicles available"
"B08141_024EA","Annotation of Estimate!!Total:!!Walked:!!2 vehicles available"
"B08141_025E","Estimate!!Total:!!Walked:!!3 or more vehicles available"
"B08141_025M","Margin of Error!!Total:!!Walked:!!3 or more vehicles available"
"B08141_025MA","Annotation of Margin of Error!!Total:!!Walked:!!3 or more vehicles available"
"B08141_025EA","Annotation of Estimate!!Total:!!Walked:!!3 or more vehicles available"
"B08141_026E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:"
"B08141_026M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:"
"B08141_026MA","Annotation of Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:"
"B08141_026EA","Annotation of Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:"
"B08141_027E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!No vehicle available"
"B08141_027M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!No vehicle available"
"B08141_027MA","Annotation of Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!No vehicle available"
"B08141_027EA","Annotation of Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!No vehicle available"
"B08141_028E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!1 vehicle available"
"B08141_028M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!1 vehicle available"
"B08141_028MA","Annotation of Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!1 vehicle available"
"B08141_028EA","Annotation of Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!1 vehicle available"
"B08141_029E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!2 vehicles available"
"B08141_029M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!2 vehicles available"
"B08141_029MA","Annotation of Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!2 vehicles available"
"B08141_029EA","Annotation of Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!2 vehicles available"
"B08141_030E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!3 or more vehicles available"
"B08141_030M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!3 or more vehicles available"
"B08141_030MA","Annotation of Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!3 or more vehicles available"
"B08141_030EA","Annotation of Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!3 or more vehicles available"
"B08141_031E","Estimate!!Total:!!Worked from home:"
"B08141_031M","Margin of Error!!Total:!!Worked from home:"
"B08141_031MA","Annotation of Margin of Error!!Total:!!Worked from home:"
"B08141_031EA","Annotation of Estimate!!Total:!!Worked from home:"
"B08141_032E","Estimate!!Total:!!Worked from home:!!No vehicle available"
"B08141_032M","Margin of Error!!Total:!!Worked from home:!!No vehicle available"
"B08141_032MA","Annotation of Margin of Error!!Total:!!Worked from home:!!No vehicle available"
"B08141_032EA","Annotation of Estimate!!Total:!!Worked from home:!!No vehicle available"
"B08141_033E","Estimate!!Total:!!Worked from home:!!1 vehicle available"
"B08141_033M","Margin of Error!!Total:!!Worked from home:!!1 vehicle available"
"B08141_033MA","Annotation of Margin of Error!!Total:!!Worked from home:!!1 vehicle available"
"B08141_033EA","Annotation of Estimate!!Total:!!Worked from home:!!1 vehicle available"
"B08141_034E","Estimate!!Total:!!Worked from home:!!2 vehicles available"
"B08141_034M","Margin of Error!!Total:!!Worked from home:!!2 vehicles available"
"B08141_034MA","Annotation of Margin of Error!!Total:!!Worked from home:!!2 vehicles available"
"B08141_034EA","Annotation of Estimate!!Total:!!Worked from home:!!2 vehicles available"
"B08141_035E","Estimate!!Total:!!Worked from home:!!3 or more vehicles available"
"B08141_035M","Margin of Error!!Total:!!Worked from home:!!3 or more vehicles available"
"B08141_035MA","Annotation of Margin of Error!!Total:!!Worked from home:!!3 or more vehicles available"
"B08141_035EA","Annotation of Estimate!!Total:!!Worked from home:!!3 or more vehicles available"
