"Column Name","Label"
"S0801_C01_008E","Estimate!!Total!!Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Workers per car, truck, or van"
"S0801_C01_008M","Margin of Error!!Total!!Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Workers per car, truck, or van"
"S0801_C01_008MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Workers per car, truck, or van"
"S0801_C01_008EA","Annotation of Estimate!!Total!!Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Workers per car, truck, or van"
"S0801_C01_009E","Estimate!!Total!!Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab)"
"S0801_C01_009M","Margin of Error!!Total!!Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab)"
"S0801_C01_009MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab)"
"S0801_C01_009EA","Annotation of Estimate!!Total!!Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab)"
"S0801_C01_010E","Estimate!!Total!!Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Walked"
"S0801_C01_010M","Margin of Error!!Total!!Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Walked"
"S0801_C01_010MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Walked"
"S0801_C01_010EA","Annotation of Estimate!!Total!!Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Walked"
"S0801_C01_011E","Estimate!!Total!!Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Bicycle"
"S0801_C01_011M","Margin of Error!!Total!!Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Bicycle"
"S0801_C01_011MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Bicycle"
"S0801_C01_011EA","Annotation of Estimate!!Total!!Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Bicycle"
"S0801_C01_012E","Estimate!!Total!!Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Taxicab, motorcycle, or other means"
"S0801_C01_012M","Margin of Error!!Total!!Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Taxicab, motorcycle, or other means"
"S0801_C01_012MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Taxicab, motorcycle, or other means"
"S0801_C01_012EA","Annotation of Estimate!!Total!!Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Taxicab, motorcycle, or other means"
"S0801_C01_013E","Estimate!!Total!!Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Worked from home"
"S0801_C01_013M","Margin of Error!!Total!!Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Worked from home"
"S0801_C01_013MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Worked from home"
"S0801_C01_013EA","Annotation of Estimate!!Total!!Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Worked from home"
"S0801_C01_014E","Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence"
"S0801_C01_014EA","Annotation of Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence"
"S0801_C01_014M","Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence"
"S0801_C01_014MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence"
"S0801_C01_015E","Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked in county of residence"
"S0801_C01_015M","Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked in county of residence"
"S0801_C01_015MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked in county of residence"
"S0801_C01_015EA","Annotation of Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked in county of residence"
"S0801_C01_016E","Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked outside county of residence"
"S0801_C01_016M","Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked outside county of residence"
"S0801_C01_016MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked outside county of residence"
"S0801_C01_016EA","Annotation of Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked outside county of residence"
"S0801_C01_017E","Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Worked outside state of residence"
"S0801_C01_017M","Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Worked outside state of residence"
"S0801_C01_017MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Worked outside state of residence"
"S0801_C01_017EA","Annotation of Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Worked outside state of residence"
"S0801_C01_018E","Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Living in a place"
"S0801_C01_018M","Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Living in a place"
"S0801_C01_018MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Living in a place"
"S0801_C01_018EA","Annotation of Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Living in a place"
"S0801_C01_019E","Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked in place of residence"
"S0801_C01_019M","Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked in place of residence"
"S0801_C01_019MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked in place of residence"
"S0801_C01_019EA","Annotation of Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked in place of residence"
"S0801_C01_020E","Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked outside place of residence"
"S0801_C01_020M","Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked outside place of residence"
"S0801_C01_020MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked outside place of residence"
"S0801_C01_020EA","Annotation of Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked outside place of residence"
"S0801_C01_021E","Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Not living in a place"
"S0801_C01_021M","Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Not living in a place"
"S0801_C01_021MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Not living in a place"
"S0801_C01_021EA","Annotation of Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Not living in a place"
"S0801_C01_022E","Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states"
"S0801_C01_022M","Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states"
"S0801_C01_022MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states"
"S0801_C01_022EA","Annotation of Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states"
"S0801_C01_023E","Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked in minor civil division of residence"
"S0801_C01_023M","Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked in minor civil division of residence"
"S0801_C01_023MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked in minor civil division of residence"
"S0801_C01_023EA","Annotation of Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked in minor civil division of residence"
"S0801_C01_024E","Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked outside minor civil division of residence"
"S0801_C01_024M","Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked outside minor civil division of residence"
"S0801_C01_024MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked outside minor civil division of residence"
"S0801_C01_024EA","Annotation of Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked outside minor civil division of residence"
"S0801_C01_025E","Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Not living in 12 selected states"
"S0801_C01_025EA","Annotation of Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Not living in 12 selected states"
"S0801_C01_025M","Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Not living in 12 selected states"
"S0801_C01_025MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Not living in 12 selected states"
"S0801_C01_026E","Estimate!!Total!!Workers 16 years and over who did not work from home"
"S0801_C01_026M","Margin of Error!!Total!!Workers 16 years and over who did not work from home"
"S0801_C01_026MA","Annotation of Margin of Error!!Total!!Workers 16 years and over who did not work from home"
"S0801_C01_026EA","Annotation of Estimate!!Total!!Workers 16 years and over who did not work from home"
"S0801_C01_027E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!12:00 a.m. to 4:59 a.m."
"S0801_C01_027M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!12:00 a.m. to 4:59 a.m."
"S0801_C01_027MA","Annotation of Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!12:00 a.m. to 4:59 a.m."
"S0801_C01_027EA","Annotation of Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!12:00 a.m. to 4:59 a.m."
"S0801_C01_028E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:00 a.m. to 5:29 a.m."
"S0801_C01_028M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:00 a.m. to 5:29 a.m."
"S0801_C01_028MA","Annotation of Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:00 a.m. to 5:29 a.m."
"S0801_C01_028EA","Annotation of Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:00 a.m. to 5:29 a.m."
"S0801_C01_029E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:30 a.m. to 5:59 a.m."
"S0801_C01_029M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:30 a.m. to 5:59 a.m."
"S0801_C01_029MA","Annotation of Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:30 a.m. to 5:59 a.m."
"S0801_C01_029EA","Annotation of Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:30 a.m. to 5:59 a.m."
"S0801_C01_030E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:00 a.m. to 6:29 a.m."
"S0801_C01_030M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:00 a.m. to 6:29 a.m."
"S0801_C01_030MA","Annotation of Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:00 a.m. to 6:29 a.m."
"S0801_C01_030EA","Annotation of Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:00 a.m. to 6:29 a.m."
"S0801_C01_031E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:30 a.m. to 6:59 a.m."
"S0801_C01_031M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:30 a.m. to 6:59 a.m."
"S0801_C01_031MA","Annotation of Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:30 a.m. to 6:59 a.m."
"S0801_C01_031EA","Annotation of Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:30 a.m. to 6:59 a.m."
"S0801_C01_032E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:00 a.m. to 7:29 a.m."
"S0801_C01_032M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:00 a.m. to 7:29 a.m."
"S0801_C01_032MA","Annotation of Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:00 a.m. to 7:29 a.m."
"S0801_C01_032EA","Annotation of Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:00 a.m. to 7:29 a.m."
"S0801_C01_033E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:30 a.m. to 7:59 a.m."
"S0801_C01_033M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:30 a.m. to 7:59 a.m."
"S0801_C01_033MA","Annotation of Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:30 a.m. to 7:59 a.m."
"S0801_C01_033EA","Annotation of Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:30 a.m. to 7:59 a.m."
"S0801_C01_034E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:00 a.m. to 8:29 a.m."
"S0801_C01_034M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:00 a.m. to 8:29 a.m."
"S0801_C01_034MA","Annotation of Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:00 a.m. to 8:29 a.m."
"S0801_C01_034EA","Annotation of Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:00 a.m. to 8:29 a.m."
"S0801_C01_035E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:30 a.m. to 8:59 a.m."
"S0801_C01_035M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:30 a.m. to 8:59 a.m."
"S0801_C01_035MA","Annotation of Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:30 a.m. to 8:59 a.m."
"S0801_C01_035EA","Annotation of Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:30 a.m. to 8:59 a.m."
"S0801_C01_036E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!9:00 a.m. to 11:59 p.m."
"S0801_C01_036EA","Annotation of Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!9:00 a.m. to 11:59 p.m."
"S0801_C01_036M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!9:00 a.m. to 11:59 p.m."
"S0801_C01_036MA","Annotation of Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!9:00 a.m. to 11:59 p.m."
"S0801_C01_037E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Less than 10 minutes"
"S0801_C01_037M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Less than 10 minutes"
"S0801_C01_037MA","Annotation of Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Less than 10 minutes"
"S0801_C01_037EA","Annotation of Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Less than 10 minutes"
"S0801_C01_038E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!10 to 14 minutes"
"S0801_C01_038M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!10 to 14 minutes"
"S0801_C01_038MA","Annotation of Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!10 to 14 minutes"
"S0801_C01_038EA","Annotation of Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!10 to 14 minutes"
"S0801_C01_039E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!15 to 19 minutes"
"S0801_C01_039M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!15 to 19 minutes"
"S0801_C01_039MA","Annotation of Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!15 to 19 minutes"
"S0801_C01_039EA","Annotation of Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!15 to 19 minutes"
"S0801_C01_040E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!20 to 24 minutes"
"S0801_C01_040M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!20 to 24 minutes"
"S0801_C01_040MA","Annotation of Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!20 to 24 minutes"
"S0801_C01_040EA","Annotation of Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!20 to 24 minutes"
"S0801_C01_041E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!25 to 29 minutes"
"S0801_C01_041M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!25 to 29 minutes"
"S0801_C01_041MA","Annotation of Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!25 to 29 minutes"
"S0801_C01_041EA","Annotation of Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!25 to 29 minutes"
"S0801_C01_042E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!30 to 34 minutes"
"S0801_C01_042M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!30 to 34 minutes"
"S0801_C01_042MA","Annotation of Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!30 to 34 minutes"
"S0801_C01_042EA","Annotation of Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!30 to 34 minutes"
"S0801_C01_043E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!35 to 44 minutes"
"S0801_C01_043M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!35 to 44 minutes"
"S0801_C01_043MA","Annotation of Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!35 to 44 minutes"
"S0801_C01_043EA","Annotation of Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!35 to 44 minutes"
"S0801_C01_044E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!45 to 59 minutes"
"S0801_C01_044M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!45 to 59 minutes"
"S0801_C01_044MA","Annotation of Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!45 to 59 minutes"
"S0801_C01_044EA","Annotation of Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!45 to 59 minutes"
"S0801_C01_045E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!60 or more minutes"
"S0801_C01_045M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!60 or more minutes"
"S0801_C01_045MA","Annotation of Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!60 or more minutes"
"S0801_C01_045EA","Annotation of Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!60 or more minutes"
"S0801_C01_046E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes)"
"S0801_C01_046M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes)"
"S0801_C01_046MA","Annotation of Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes)"
"S0801_C01_046EA","Annotation of Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes)"
"S0801_C01_047E","Estimate!!Total!!VEHICLES AVAILABLE!!Workers 16 years and over in households"
"S0801_C01_047EA","Annotation of Estimate!!Total!!VEHICLES AVAILABLE!!Workers 16 years and over in households"
"S0801_C01_047M","Margin of Error!!Total!!VEHICLES AVAILABLE!!Workers 16 years and over in households"
"S0801_C01_047MA","Annotation of Margin of Error!!Total!!VEHICLES AVAILABLE!!Workers 16 years and over in households"
"S0801_C01_048E","Estimate!!Total!!VEHICLES AVAILABLE!!Workers 16 years and over in households!!No vehicle available"
"S0801_C01_048M","Margin of Error!!Total!!VEHICLES AVAILABLE!!Workers 16 years and over in households!!No vehicle available"
"S0801_C01_048MA","Annotation of Margin of Error!!Total!!VEHICLES AVAILABLE!!Workers 16 years and over in households!!No vehicle available"
"S0801_C01_048EA","Annotation of Estimate!!Total!!VEHICLES AVAILABLE!!Workers 16 years and over in households!!No vehicle available"
"S0801_C01_049E","Estimate!!Total!!VEHICLES AVAILABLE!!Workers 16 years and over in households!!1 vehicle available"
"S0801_C01_049M","Margin of Error!!Total!!VEHICLES AVAILABLE!!Workers 16 years and over in households!!1 vehicle available"
"S0801_C01_049MA","Annotation of Margin of Error!!Total!!VEHICLES AVAILABLE!!Workers 16 years and over in households!!1 vehicle available"
"S0801_C01_049EA","Annotation of Estimate!!Total!!VEHICLES AVAILABLE!!Workers 16 years and over in households!!1 vehicle available"
"S0801_C01_050E","Estimate!!Total!!VEHICLES AVAILABLE!!Workers 16 years and over in households!!2 vehicles available"
"S0801_C01_050M","Margin of Error!!Total!!VEHICLES AVAILABLE!!Workers 16 years and over in households!!2 vehicles available"
"S0801_C01_050MA","Annotation of Margin of Error!!Total!!VEHICLES AVAILABLE!!Workers 16 years and over in households!!2 vehicles available"
