City,State,Cost of Living Index
Las Vegas,NV,100.7
Reno,NV,107.4
Albany,NY,100.1
Auburn,NY,93.7
Binghamton,NY,93.3
Buffalo,NY,97.3
Corning,NY,90.9
Elmira,NY,92.5
Glens Falls,NY,98.6
Ithaca,NY,101.7
Jamestown,NY,91.3
Kingston,NY,106.1
New York,NY,128
Ogdensburg,NY,88.3
Olean,NY,89
Plattsburgh,NY,93.7
Rochester,NY,96.6
Syracuse,NY,95.1
Utica,NY,94.1
Watertown,NY,96.4
Akron,OH,89.4
Ashtabula,OH,87.4
Athens,OH,88.5
Canton,OH,88.2
Chillicothe,OH,89.8
Cincinnati,OH,92.4
Cleveland,OH,90
Columbus,OH,93.9
Dayton,OH,88.4
Findlay,OH,91.1
Lima,OH,87.2
Mansfield,OH,86.2
Marion,OH,85.7
New Philadelphia,OH,88.9
Portsmouth,OH,84.7
Sandusky,OH,90.8
Springfield,OH,87.5
Toledo,OH,87.5
Wooster,OH,95.5
Youngstown,OH,86.4
Zanesville,OH,87.6
Salem,OH,86.6
Enid,OK,82.9
Lawton,OK,82.8
Muskogee,OK,81.3
Oklahoma City,OK,87.3
Shawnee,OK,82.4
Stillwater,OK,86.3
Tulsa,OK,86.7
Albany,OR,105.4
Bend,OR,115.9
Coos Bay,OR,102
Corvallis,OR,110.6
Eugene,OR,108.4
Grants Pass,OR,106.6
Klamath Falls,OR,97.1
Medford,OR,107.5
Portland,OR,116.5
Roseburg,OR,100.8
Salem,OR,105.8
Hermiston,OR,97.9
Allentown,PA,98.9
Altoona,PA,90.8
Bloomsburg,PA,93.2
Chambersburg,PA,95.7
DuBois,PA,88.2
East Stroudsburg,PA,96.1
Erie,PA,91.8
Gettysburg,PA,98.2
Harrisburg,PA,95.8
Indiana,PA,90.8
Johnstown,PA,87.6
Lancaster,PA,99.5
Lebanon,PA,95.4
Meadville,PA,88.5
New Castle,PA,88.1
Philadelphia,PA,103.4
Pittsburgh,PA,93.1
Pottsville,PA,87
Reading,PA,96
Scranton,PA,91.3
Somerset,PA,89.3
State College,PA,99.8
Sunbury,PA,88.6
Williamsport,PA,93.4
York,PA,95.8
Providence,RI,111.5
Charleston,SC,101.7
Columbia,SC,91.9
Florence,SC,87.7
Greenville,SC,95
Greenwood,SC,88.7
Hilton Head Island,SC,109.4
Myrtle Beach,SC,94.7
Orangeburg,SC,85.3
Seneca,SC,94
Spartanburg,SC,91
Sumter,SC,88.1
Rapid City,SD,94.2
Sioux Falls,SD,92.8
Chattanooga,TN,91.2
Clarksville,TN,88.7
Cleveland,TN,89.5
Cookeville,TN,90.9
Greeneville,TN,86.5
Jackson,TN,85.2
Johnson City,TN,88.1
Kingsport,TN,86
Knoxville,TN,91.6
Memphis,TN,88.2
Morristown,TN,87.3
Nashville,TN,100.1
Sevierville,TN,103.5
Tullahoma,TN,88.7
Abilene,TX,89.1
Amarillo,TX,88.2
Athens,TX,92.9
Austin,TX,106.6
Beaumont,TX,88.6
Brownsville,TX,87.8
College Station,TX,92.3
Corpus Christi,TX,93.3
El Paso,TX,88.6
Houston,TX,95.8
Huntsville,TX,91.2
Killeen,TX,88.6
Laredo,TX,90.1
Longview,TX,88.5
Lubbock,TX,88.8
Lufkin,TX,88.2
Marshall,TX,89.9
McAllen,TX,86
Midland,TX,97.8
Nacogdoches,TX,89.6
Odessa,TX,92.7
San Angelo,TX,90.7
San Antonio,TX,92.7
Sherman,TX,91.3
Texarkana,TX,86.3
Tyler,TX,92.8
Waco,TX,89.5
Wichita Falls,TX,85.7
Dallas,TX,98.5
Victoria,TX,89.5
Ogden,UT,99.8
Provo,UT,100.9
Salt Lake City,UT,105.9
St. George,UT,98
Logan,UT,95.2
Blacksburg,VA,94.5
Charlottesville,VA,102.1
Danville,VA,87.1
Harrisonburg,VA,95.5
Lynchburg,VA,93.6
Martinsville,VA,85
Richmond,VA,99.2
Roanoke,VA,94.1
Staunton,VA,94.5
Virginia Beach,VA,99
Winchester,VA,97.2
Burlington,VT,112.8
Bellingham,WA,111.6
Bremerton,WA,115
Centralia,WA,103.3
Kennewick,WA,99.7
Longview,WA,101.6
Moses Lake,WA,95.7
Mount Vernon,WA,110.1
Oak Harbor,WA,125.2
Olympia,WA,110.9
Port Angeles,WA,109.1
Seattle,WA,124.6
Shelton,WA,109.6
Spokane,WA,100.4
Walla Walla,WA,100.9
Wenatchee,WA,106.6
Yakima,WA,97.5
Aberdeen,WA,97.6
Appleton,WI,90.7
Beaver Dam,WI,92.9
Eau Claire,WI,91.8
Fond du Lac,WI,88
Green Bay,WI,91.4
Janesville,WI,89.8
La Crosse,WI,91.8
Madison,WI,99.5
Manitowoc,WI,87.8
Marinette,WI,86.6
Milwaukee,WI,93.8
Oshkosh,WI,89
Racine,WI,90.9
Sheboygan,WI,89.7
Stevens Point,WI,91.5
Watertown,WI,97.1
Wausau,WI,88.9
Whitewater,WI,97.7
Wisconsin Rapids,WI,86.9
Beckley,WV,80
Bluefield,WV,81.2
Charleston,WV,83.9
Clarksburg,WV,83.4
Huntington,WV,84.3
Morgantown,WV,88.5
Parkersburg,WV,84.7
Weirton,WV,82.6
Wheeling,WV,84.1
Casper,WY,94.2
Cheyenne,WY,96.9
